Team	Injuries	Time
Brazil	16	3:18
Chile	16	6:58
Honduras	15	7:40
Nigeria	15	6:25
Mexico	15	3:58
Costa Rica	13	3:48
USA	12	6:24
Ecuador	12	4:33
France	10	7:19
South Korea	10	4:31
Algeria	10	4:03
Iran	9	5:26
Russia	9	5:16
Ivory	9	4:38
Croatia	9	4:19
Colombia	9	4:09
Uruguay	9	4:07
Greece	9	2:39
Cameroon	8	3:09
Germany	8	1:58
Spain	8	1:49
Belgium	7	3:23
Japan	7	2:05
Italy	7	1:36
Switerland	7	1:21
England	7	3:08
Argentina	6	2:48
Ghana	6	1:51
Australia	6	1:50
Portugal	4	1:49
Netherlands	4	1:39
Bosnia	2	0:24
