Team	Injuries	Time	Region
Brazil	16	3.3	S.America
Chile	16	6.966667	S.America
Honduras	15	7.666667	C.America
Nigeria	15	6.416667	C.America
Mexico	15	3.966667	C.America
Costa Rica	13	3.8	C.America
USA	12	6.4	N.America
Ecuador	12	4.55	S.America
France	10	7.316667	Europe
South Korea	10	4.516667	Asia
Algeria	10	4.05	Africa
Iran	9	5.433333	Middle.East
Russia	9	5.266667	Europe
Ivory	9	4.633333	Africa
Croatia	9	4.316667	Europe
Colombia	9	4.15	S.America
Uruguay	9	4.116667	S.America
Greece	9	2.65	Europe
Cameroon	8	3.15	Africa
Germany	8	1.966667	Europe
Spain	8	1.816667	Europe
Belgium	7	3.383333	Europe
Japan	7	2.083333	Asia
Italy	7	1.6	Europe
Switerland	7	1.35	Europe
England	7	3.133333	Europe
Argentina	6	2.8	S.America
Ghana	6	1.85	Africa
Australia	6	1.833333	Australia
Portugal	4	1.816667	Europe
Netherlands	4	1.65	Europe
Bosnia	2	0.4	Europe
