Team	Pld	W	D	L	Pts	APts	GF	AGF	GA	AGA	GD	AGD	CS	ACS	YC	AYC	RC	ARC
 Argentina	3	3	0	0	9	3	6	2	3	1	3	1	1	0.33	1	0.33	0	0
 Australia	3	0	0	3	0	0	3	1	9	3	-6	-2	0	0	6	2	0	0
 Bosnia and Herz.	3	1	0	2	3	1	4	1.33	4	1.33	0	0	0	0	3	1	0	0
 Brazil	3	2	1	0	7	2.33	7	2.33	2	0.67	5	1.67	1	0.33	4	1.33	0	0
 Cameroon	3	0	0	3	0	0	1	0.33	9	3	-8	-2.67	0	0	4	1.33	1	0.33
 Chile	3	2	0	1	6	2	5	1.67	3	1	2	0.67	1	0.33	4	1.33	0	0
 Colombia	3	3	0	0	9	3	9	3	2	0.67	7	2.33	1	0.33	2	0.67	0	0
 Costa Rica	3	2	1	0	7	2.33	4	1.33	1	0.33	3	1	2	0.67	2	0.67	0	0
 Croatia	3	1	0	2	3	1	6	2	6	2	0	0	1	0.33	4	1.33	1	0.33
 England	3	0	1	2	1	0.33	2	0.67	4	1.33	-2	-0.67	1	0.33	4	1.33	0	0
 Greece	3	1	1	1	4	1.33	2	0.67	4	1.33	-2	-0.67	1	0.33	6	2	1	0.33
 Iran	3	0	1	2	1	0.33	1	0.33	4	1.33	-3	-1	1	0.33	4	1.33	0	0
 Italy	3	1	0	2	3	1	2	0.67	3	1	-1	-0.33	0	0	3	1	1	0.33
 Ivory Coast	3	1	0	2	3	1	4	1.33	5	1.67	-1	-0.33	0	0	7	2.33	0	0
 Japan	3	0	1	2	1	0.33	2	0.67	6	2	-4	-1.33	1	0.33	4	1.33	0	0
 Mexico	3	2	1	0	7	2.33	4	1.33	1	0.33	3	1	2	0.67	5	1.67	0	0
 Netherlands	3	3	0	0	9	3	10	3.33	3	1	7	2.33	1	0.33	5	1.67	0	0
 Nigeria	3	1	1	1	4	1.33	3	1	3	1	0	0	2	0.67	3	1	0	0
 Spain	3	1	0	2	3	1	4	1.33	7	2.33	-3	-1	1	0.33	3	1	0	0
 Uruguay	3	2	0	1	6	2	4	1.33	4	1.33	0	0	1	0.33	6	2	1	0.33
 Algeria	2	1	0	1	3	1.5	5	2.5	4	2	1	0.5	0	0	2	1	0	0
 Belgium	2	2	0	0	6	3	3	1.5	1	0.5	2	1	1	0.5	3	1.5	0	0
 Ecuador	2	1	0	1	3	1.5	3	1.5	3	1.5	0	0	0	0	4	2	0	0
 France	2	2	0	0	6	3	8	4	2	1	6	3	1	0.5	4	2	0	0
 Germany	2	1	1	0	4	2	6	3	2	1	4	2	1	0.5	0	0	0	0
 Ghana	2	0	1	1	1	0.5	3	1.5	4	2	-1	-0.5	0	0	3	1.5	0	0
 Honduras	2	0	0	2	0	0	1	0.5	5	2.5	-4	-2	0	0	6	3	1	0.5
 Portugal	2	0	1	1	1	0.5	2	1	6	3	-4	-2	0	0	1	0.5	1	0.5
 Russia	2	0	1	1	1	0.5	1	0.5	2	1	-1	-0.5	0	0	2	1	0	0
 South Korea	2	0	1	1	1	0.5	3	1.5	5	2.5	-2	-1	0	0	5	2.5	0	0
  Switzerland	2	1	0	1	3	1.5	4	2	6	3	-2	-1	0	0	1	0.5	0	0
 United States	2	1	1	0	4	2	4	2	3	1.5	1	0.5	0	0	1	0.5	0	0
